,age,Dalc,Walc,Medu,Fedu,studytime,G3,sex_F,sex_M,romantic_no,romantic_yes
178,16,3,4,4,2,1,9,0,1,0,1
179,17,1,1,4,3,2,11,0,1,0,1
180,16,2,3,4,3,2,8,0,1,1,0
181,16,1,2,3,3,2,12,0,1,0,1
182,17,2,3,2,4,2,17,1,0,1,0
183,17,2,3,3,3,2,8,1,0,0,1
184,16,1,2,3,2,2,12,1,0,1,0
185,17,2,3,3,3,2,11,0,1,0,1
186,16,1,2,1,2,1,11,0,1,0,1
187,16,1,2,2,1,2,15,0,1,0,1
188,17,1,3,3,3,2,9,1,0,0,1
189,17,1,5,1,2,2,10,0,1,1,0
190,16,1,1,2,3,2,13,1,0,1,0
191,17,1,1,1,1,2,9,1,0,1,0
192,17,4,5,1,2,2,8,0,1,1,0
193,16,3,4,3,3,1,10,0,1,1,0
194,16,1,1,2,3,1,14,0,1,1,0
195,17,1,1,2,4,2,15,1,0,0,1
196,17,1,2,4,4,1,16,0,1,1,0
197,16,3,5,3,3,1,10,0,1,1,0
198,17,2,3,4,4,1,18,1,0,1,0
199,16,1,2,4,4,2,10,1,0,1,0
200,16,1,5,4,3,2,16,1,0,1,0
201,16,1,3,2,3,2,10,1,0,1,0
202,17,1,3,1,1,2,10,1,0,1,0
203,17,1,2,2,2,1,6,1,0,1,0
204,16,1,1,2,2,4,11,1,0,1,0
205,17,3,4,3,4,3,9,1,0,0,1
206,16,2,2,3,1,2,7,1,0,1,0
207,16,1,1,4,3,2,13,1,0,0,1
208,16,1,4,1,1,1,10,1,0,1,0
209,17,1,1,4,3,3,7,1,0,0,1
210,19,1,2,3,3,4,8,1,0,1,0
211,17,4,5,4,4,2,13,0,1,0,1
212,16,1,1,2,2,2,14,1,0,1,0
213,18,2,4,2,2,2,8,0,1,1,0
214,17,1,2,4,4,1,10,1,0,1,0
215,17,1,3,3,2,2,15,1,0,1,0
216,17,2,4,4,3,2,4,1,0,0,1
217,18,2,4,3,3,2,8,0,1,1,0
218,17,1,4,2,3,1,8,1,0,1,0
219,17,1,1,2,2,3,10,1,0,1,0
220,17,1,2,2,1,2,6,1,0,1,0
221,17,1,1,1,1,3,0,1,0,0,1
222,16,1,1,2,3,2,17,1,0,1,0
223,18,5,5,2,2,2,13,0,1,1,0
224,16,1,1,4,4,3,14,1,0,1,0
225,18,1,1,3,1,2,7,1,0,0,1
226,17,1,3,3,2,2,15,1,0,1,0
227,17,1,3,2,3,2,12,0,1,1,0
228,18,4,5,2,1,2,9,0,1,0,1
229,17,1,2,2,1,3,12,1,0,0,1
230,17,1,2,4,3,2,14,1,0,0,1
231,17,1,1,2,2,2,11,0,1,1,0
232,17,1,3,4,4,2,9,0,1,0,1
233,16,2,4,4,4,2,13,0,1,1,0
234,16,1,1,1,1,2,6,0,1,1,0
235,16,1,3,3,2,3,10,0,1,0,1
236,17,5,5,2,2,2,13,0,1,0,1
237,16,1,1,2,1,1,12,1,0,0,1
238,17,1,1,2,1,2,11,1,0,1,0
239,18,3,5,2,2,2,0,0,1,1,0
240,17,1,4,4,3,2,12,0,1,0,1
241,17,2,3,4,4,2,12,0,1,1,0
242,16,1,1,4,3,1,0,0,1,1,0
243,16,1,2,4,4,1,12,0,1,1,0
244,18,1,1,2,1,3,0,1,0,0,1
245,16,1,1,2,1,1,18,0,1,1,0
246,17,1,1,2,3,1,13,0,1,1,0
247,22,5,5,3,1,1,8,0,1,0,1
248,18,1,3,3,3,2,5,0,1,0,1
249,16,2,4,0,2,1,15,0,1,1,0
250,18,2,4,3,2,1,8,0,1,1,0
251,16,1,3,3,3,2,10,0,1,1,0
252,18,2,5,2,1,1,8,0,1,1,0
253,16,1,3,2,1,1,8,0,1,1,0
254,17,2,4,2,1,1,12,0,1,1,0
255,17,1,2,1,1,1,8,0,1,1,0
256,17,1,1,4,2,4,13,1,0,1,0
257,19,1,1,4,3,2,11,0,1,1,0
258,18,1,2,2,1,2,14,0,1,1,0
259,17,1,1,2,2,4,0,1,0,0,1
260,18,1,3,4,3,2,18,1,0,0,1
261,18,1,1,4,3,2,8,0,1,1,0
262,18,1,1,3,2,3,12,0,1,1,0
263,17,1,1,3,3,3,9,1,0,1,0
264,18,1,1,2,2,3,0,1,0,0,1
265,18,3,4,3,4,2,17,0,1,1,0
266,17,3,4,3,1,2,10,0,1,0,1
267,18,2,2,4,4,2,11,1,0,1,0
268,18,1,3,4,2,2,10,0,1,0,1
269,18,1,2,2,1,2,0,1,0,0,1
270,19,3,3,3,3,2,9,1,0,1,0
271,18,1,3,2,3,4,14,1,0,0,1
272,18,1,1,1,1,2,11,1,0,1,0
273,17,2,2,1,2,2,14,0,1,0,1
274,17,1,1,2,4,2,10,1,0,0,1
275,17,2,3,2,2,2,12,1,0,0,1
276,18,1,1,3,2,2,9,1,0,0,1
277,18,1,4,4,4,1,9,0,1,1,0
278,18,1,1,4,4,2,8,1,0,0,1
279,18,1,2,4,3,1,10,0,1,1,0
280,17,2,4,4,1,1,8,0,1,0,1
281,17,3,4,3,2,1,10,0,1,1,0
282,18,1,1,1,1,4,12,1,0,1,0
283,18,1,1,1,1,2,10,1,0,1,0
284,17,1,2,2,2,2,11,1,0,1,0
285,17,1,2,1,1,2,11,0,1,1,0
286,18,1,2,2,2,3,19,1,0,1,0
287,17,1,1,1,1,3,12,1,0,1,0
288,18,1,3,2,1,3,14,0,1,1,0
289,18,1,1,4,4,2,15,0,1,1,0
290,18,1,4,4,2,2,11,0,1,0,1
291,17,1,2,4,3,3,15,1,0,1,0
292,18,1,1,2,1,2,13,1,0,0,1
293,17,1,1,3,1,4,18,1,0,1,0
294,18,1,1,3,2,3,14,0,1,1,0
295,17,1,3,3,3,1,11,0,1,1,0
296,19,2,3,4,4,2,0,1,0,1,0
297,18,1,2,4,3,2,8,1,0,0,1
298,18,1,1,4,3,4,14,1,0,1,0
299,18,2,2,4,4,1,16,0,1,0,1
300,18,1,1,4,4,2,11,1,0,0,1
301,17,2,2,4,4,1,10,0,1,1,0
302,17,1,1,4,2,3,14,1,0,1,0
303,17,1,2,3,2,4,18,1,0,1,0
304,19,1,1,3,3,2,13,0,1,0,1
305,18,1,1,2,4,2,12,1,0,1,0
306,20,1,1,3,2,1,18,0,1,1,0
307,19,1,1,4,4,1,8,0,1,0,1
308,19,1,2,3,3,2,12,0,1,0,1
309,19,1,3,1,1,2,10,1,0,1,0
310,19,2,2,1,2,2,0,1,0,0,1
311,19,1,1,2,1,2,13,1,0,0,1
312,19,2,2,1,2,2,11,0,1,1,0
313,19,1,2,3,2,2,11,1,0,0,1
314,19,1,1,1,1,3,13,1,0,0,1
315,19,1,1,2,3,3,11,1,0,0,1
316,18,1,2,2,1,2,0,1,0,1,0
317,18,1,1,4,3,3,9,1,0,0,1
318,17,2,5,3,4,3,10,1,0,1,0
319,18,3,3,4,4,2,11,1,0,1,0
320,17,1,2,4,3,2,13,1,0,0,1
321,17,1,1,2,2,2,9,1,0,0,1
322,17,2,2,2,2,3,11,1,0,1,0
323,17,2,3,3,1,3,15,1,0,1,0
324,17,2,3,0,2,3,15,1,0,1,0
325,18,2,2,4,4,3,11,0,1,1,0
326,17,3,5,3,3,1,16,0,1,1,0
327,17,5,5,2,2,1,10,0,1,1,0
328,17,1,3,4,4,3,9,1,0,1,0
329,17,1,2,4,4,3,14,1,0,0,1
330,18,2,4,2,2,4,8,0,1,1,0
331,17,1,1,2,4,3,14,1,0,0,1
332,18,1,1,3,3,2,0,1,0,1,0
333,18,1,1,2,2,2,0,1,0,0,1
334,18,1,1,2,2,4,0,1,0,1,0
335,17,1,3,3,4,3,15,1,0,1,0
336,19,1,2,3,1,3,13,1,0,1,0
337,17,2,3,3,2,2,0,1,0,0,1
338,18,1,1,3,3,4,17,1,0,1,0
339,17,2,3,3,2,2,10,1,0,1,0
340,19,1,3,2,1,3,11,1,0,0,1
341,18,2,2,4,4,2,0,0,1,1,0
342,18,1,3,3,4,2,15,0,1,0,1
343,17,1,2,2,2,2,0,1,0,0,1
344,18,1,2,2,3,3,10,1,0,1,0
345,18,2,3,3,2,3,14,1,0,0,1
346,18,1,2,4,3,3,16,0,1,0,1
347,18,2,3,4,3,3,9,0,1,0,1
348,17,1,3,4,3,3,15,1,0,0,1
349,18,5,5,3,2,1,13,0,1,1,0
350,19,3,3,1,1,2,8,0,1,1,0
351,17,2,3,3,3,2,13,0,1,1,0
352,18,2,3,1,3,1,8,0,1,0,1
353,19,3,3,1,1,1,8,0,1,1,0
354,17,1,3,4,3,2,11,0,1,0,1
355,18,1,1,3,3,2,9,1,0,0,1
356,17,1,2,4,4,2,13,1,0,1,0
357,17,1,2,3,2,2,11,1,0,0,1
358,18,1,2,1,1,1,10,0,1,0,1
359,18,1,1,1,1,3,16,1,0,1,0
360,18,1,4,1,4,2,13,1,0,0,1
361,18,2,3,1,1,2,12,0,1,1,0
362,18,1,3,3,3,2,10,1,0,0,1
363,17,1,1,4,4,2,15,1,0,0,1
364,17,1,2,1,2,2,12,1,0,1,0
365,18,2,4,1,3,2,10,0,1,1,0
366,18,2,2,4,4,3,13,0,1,0,1
367,17,1,2,1,1,1,0,1,0,0,1
368,18,1,2,2,3,1,10,1,0,0,1
369,18,4,2,4,4,2,11,1,0,0,1
370,19,1,1,3,2,2,9,1,0,0,1
371,18,2,3,1,2,1,12,0,1,0,1
372,17,1,1,2,2,3,11,1,0,0,1
373,17,1,3,1,2,1,5,1,0,1,0
374,18,1,1,4,4,3,19,1,0,1,0
375,18,1,2,1,1,3,10,1,0,1,0
376,20,1,1,4,2,3,15,1,0,0,1
377,18,3,4,4,4,2,10,1,0,1,0
378,18,1,2,3,3,2,15,1,0,0,1
379,17,2,3,3,1,2,10,1,0,1,0
380,18,1,4,4,4,2,14,0,1,1,0
381,18,1,3,2,1,1,7,0,1,0,1
382,17,1,1,2,3,2,10,0,1,1,0
383,19,1,3,1,1,1,0,0,1,1,0
384,18,4,3,4,2,1,5,0,1,1,0
385,18,1,3,2,2,3,10,1,0,1,0
386,18,2,2,4,4,1,6,1,0,0,1
387,19,1,2,2,3,3,0,1,0,1,0
388,18,1,1,3,1,2,8,1,0,1,0
389,18,1,1,1,1,2,0,1,0,1,0
390,20,4,5,2,2,2,9,0,1,1,0
391,17,3,4,3,1,1,16,0,1,1,0
392,21,3,3,1,1,1,7,0,1,1,0
393,18,3,4,3,2,1,10,0,1,1,0
394,19,3,3,1,1,1,9,0,1,1,0
395,18,1,1,4,4,2,11,1,0,1,0
396,17,1,1,1,1,2,11,1,0,1,0
397,15,2,3,1,1,2,12,1,0,1,0
398,15,1,1,4,2,3,14,1,0,0,1
399,16,1,2,3,3,2,13,1,0,1,0
400,16,1,2,4,3,2,13,0,1,1,0
401,16,1,1,2,2,2,13,0,1,1,0
402,17,1,1,4,4,2,13,1,0,1,0
403,15,1,1,3,2,2,17,0,1,1,0
404,15,1,1,3,4,2,13,0,1,1,0
405,15,1,2,4,4,2,14,1,0,1,0
406,15,1,1,2,1,3,13,1,0,1,0
407,15,1,3,4,4,1,12,0,1,1,0
408,15,1,2,4,3,2,13,0,1,1,0
409,15,1,1,2,2,3,15,0,1,0,1
410,16,1,2,4,4,1,17,1,0,1,0
411,16,1,2,4,4,3,14,1,0,1,0
412,16,1,1,3,3,2,14,1,0,1,0
413,17,2,4,3,2,1,7,0,1,1,0
414,16,1,3,4,3,1,12,0,1,1,0
415,15,1,1,4,3,2,14,0,1,1,0
416,15,1,1,4,4,1,12,0,1,1,0
417,16,1,3,4,2,2,14,0,1,1,0
418,16,2,4,2,2,2,10,0,1,1,0
419,15,1,1,2,4,3,10,1,0,1,0
420,16,1,3,2,2,1,12,1,0,1,0
421,15,1,2,2,2,1,12,0,1,1,0
422,15,2,4,4,2,1,11,0,1,1,0
423,16,1,1,3,4,2,13,0,1,1,0
424,16,5,5,4,4,2,12,0,1,0,1
425,15,3,4,4,4,2,11,0,1,1,0
426,15,1,1,4,4,2,15,0,1,1,0
427,15,1,1,4,3,2,15,0,1,0,1
428,15,1,1,3,3,2,12,0,1,1,0
429,16,1,1,3,2,1,12,0,1,1,0
430,15,1,1,2,3,1,11,1,0,1,0
431,15,1,1,4,3,3,14,0,1,1,0
432,16,1,1,4,4,3,13,0,1,0,1
433,15,1,1,3,4,3,12,1,0,1,0
434,15,1,1,2,2,1,12,1,0,1,0
435,16,1,2,2,2,2,10,1,0,0,1
436,15,2,4,4,4,1,11,0,1,0,1
437,15,1,1,4,4,2,15,0,1,1,0
438,15,1,1,2,2,1,10,0,1,1,0
439,16,2,2,2,2,2,11,1,0,1,0
440,15,1,1,4,3,2,11,1,0,0,1
441,16,1,4,3,3,2,13,1,0,1,0
442,16,1,1,4,3,4,17,0,1,1,0
443,15,2,2,4,2,2,13,0,1,1,0
444,15,1,1,4,4,2,12,1,0,1,0
445,16,2,3,2,2,2,13,1,0,1,0
446,15,1,1,4,2,2,16,1,0,1,0
447,15,3,4,4,2,1,9,0,1,1,0
448,15,2,3,4,4,1,12,1,0,1,0
449,15,4,4,3,3,1,13,1,0,1,0
450,16,1,1,2,1,2,12,1,0,0,1
451,15,1,1,4,3,2,15,1,0,1,0
452,15,1,1,4,4,2,16,0,1,1,0
453,15,1,1,1,2,2,14,0,1,1,0
454,16,1,1,4,2,2,16,1,0,1,0
455,16,2,3,4,4,2,16,1,0,1,0
456,16,5,5,1,1,1,16,1,0,0,1
457,16,1,1,1,2,2,10,1,0,1,0
458,16,2,4,4,3,3,13,1,0,1,0
459,15,2,4,4,3,2,12,1,0,0,1
460,16,1,2,4,3,2,16,1,0,1,0
461,15,5,5,4,4,4,12,0,1,0,1
462,16,1,2,3,1,4,10,1,0,1,0
463,15,1,3,2,2,2,11,1,0,1,0
464,15,2,3,3,1,4,15,1,0,1,0
465,16,1,1,3,1,4,11,0,1,1,0
466,15,1,1,4,2,4,10,0,1,1,0
467,15,2,4,1,1,2,11,1,0,0,1
468,16,2,2,3,1,1,14,0,1,1,0
469,16,2,4,3,3,2,11,1,0,1,0
470,15,2,3,4,3,2,11,0,1,1,0
471,15,1,1,4,0,4,11,0,1,1,0
472,16,1,3,2,2,4,13,1,0,0,1
473,17,1,1,2,1,1,10,0,1,1,0
474,16,1,2,3,4,2,11,1,0,1,0
475,15,1,3,2,3,1,12,0,1,0,1
476,15,1,2,2,3,3,9,0,1,1,0
477,15,1,1,3,2,2,11,1,0,1,0
478,15,1,3,2,2,2,13,0,1,1,0
479,15,2,3,1,1,2,12,1,0,1,0
480,15,2,3,4,4,2,12,1,0,0,1
481,16,1,2,2,2,2,11,1,0,1,0
482,15,1,3,4,2,3,15,1,0,1,0
483,16,1,1,2,2,2,11,0,1,1,0
484,16,3,5,4,4,2,10,0,1,1,0
485,16,1,3,3,3,3,11,1,0,0,1
486,15,1,3,4,3,1,13,1,0,1,0
487,16,2,3,3,1,2,12,1,0,1,0
488,16,1,1,4,2,2,14,1,0,1,0
489,15,1,1,2,2,4,12,0,1,1,0
490,15,1,1,1,1,4,13,1,0,1,0
491,16,1,1,4,3,1,11,0,1,1,0
492,16,1,1,2,1,2,12,1,0,0,1
493,16,1,2,4,4,1,13,1,0,1,0
494,16,1,1,4,3,3,13,1,0,1,0
495,16,5,5,4,4,1,8,0,1,1,0
496,16,1,1,4,4,3,16,0,1,0,1
497,15,1,1,4,4,1,12,0,1,1,0
498,15,1,1,3,2,2,10,1,0,1,0
499,15,1,1,3,4,2,16,0,1,1,0
500,15,1,1,3,3,4,10,1,0,1,0
501,15,1,1,2,2,4,10,1,0,1,0
502,16,1,1,3,3,3,14,0,1,1,0
503,15,3,5,4,4,4,11,0,1,0,1
504,16,1,1,4,4,3,14,1,0,0,1
505,15,1,1,4,4,1,14,0,1,1,0
506,16,1,1,3,3,3,11,1,0,1,0
507,16,1,1,2,2,2,10,1,0,1,0
508,15,1,1,4,2,1,18,0,1,1,0
509,15,1,1,2,1,2,10,0,1,0,1
510,16,1,2,4,4,2,14,0,1,1,0
511,15,1,1,4,4,2,16,0,1,1,0
512,16,1,1,3,3,1,15,0,1,1,0
513,17,1,4,1,3,2,11,0,1,1,0
514,15,1,2,3,4,1,14,0,1,1,0
515,15,1,2,1,2,2,14,1,0,1,0
516,15,1,2,2,2,4,13,0,1,1,0
517,16,1,2,2,4,2,13,1,0,0,1
518,16,1,4,4,4,1,13,0,1,1,0
519,16,1,1,2,2,2,11,1,0,0,1
520,15,3,2,3,4,1,9,0,1,1,0
521,15,1,1,3,4,2,11,1,0,0,1
522,19,1,1,0,1,2,11,1,0,1,0
523,16,2,5,4,4,1,15,0,1,1,0
524,16,2,2,2,3,3,13,0,1,0,1
525,15,2,2,3,4,3,12,1,0,0,1
526,18,1,3,2,1,2,8,1,0,0,1
527,17,1,2,2,1,1,11,1,0,1,0
528,15,1,2,1,1,1,13,1,0,0,1
529,17,1,3,2,2,1,12,1,0,0,1
530,16,1,4,3,4,1,14,1,0,1,0
531,16,1,1,2,1,1,11,0,1,1,0
532,16,1,1,2,2,1,11,1,0,1,0
533,15,1,1,3,4,2,11,0,1,0,1
534,15,1,1,4,4,3,15,1,0,0,1
535,17,2,4,3,4,2,10,0,1,1,0
536,16,1,1,1,1,2,13,1,0,1,0
537,18,4,5,3,1,1,12,0,1,0,1
538,18,5,1,3,2,3,11,1,0,0,1
539,16,1,2,1,1,1,11,1,0,0,1
540,16,1,1,3,3,1,10,1,0,0,1
541,16,1,3,1,1,2,10,0,1,0,1
542,15,1,1,4,4,1,14,1,0,1,0
543,15,1,1,1,1,1,9,1,0,0,1
544,15,1,1,4,3,4,11,0,1,1,0
545,15,2,3,3,3,2,9,1,0,0,1
546,16,1,3,4,4,3,13,0,1,1,0
547,16,2,2,2,2,1,11,0,1,1,0
548,15,1,1,4,4,3,13,1,0,1,0
549,16,3,3,1,1,1,11,1,0,1,0
550,17,1,2,2,1,1,6,0,1,1,0
551,15,1,2,1,1,2,12,1,0,1,0
552,15,1,1,2,1,1,10,1,0,0,1
553,15,1,1,3,2,2,11,1,0,1,0
554,15,1,1,1,2,2,13,1,0,1,0
555,15,2,4,1,2,2,11,1,0,0,1
556,16,2,1,4,4,1,8,0,1,0,1
557,15,2,5,2,1,1,11,0,1,1,0
558,18,2,5,1,1,1,0,0,1,0,1
559,16,3,5,2,1,1,10,0,1,0,1
560,15,2,3,3,3,3,13,1,0,0,1
561,19,1,1,3,2,1,11,0,1,0,1
562,17,1,1,4,4,1,13,1,0,0,1
563,15,1,1,2,3,2,8,0,1,1,0
564,17,3,3,1,2,1,10,0,1,1,0
565,18,1,5,1,1,1,11,1,0,1,0
566,16,1,2,2,2,1,11,0,1,1,0
567,16,4,4,3,3,2,1,0,1,0,1
568,16,3,5,1,2,1,10,0,1,1,0
569,17,2,2,2,1,1,9,0,1,0,1
570,17,1,4,3,2,2,8,0,1,0,1
571,15,2,4,1,2,1,10,0,1,1,0
572,16,1,4,1,3,1,8,0,1,1,0
573,17,1,5,1,1,2,8,0,1,0,1
574,17,1,1,3,2,1,8,0,1,1,0
575,16,2,4,2,2,2,11,0,1,1,0
576,16,1,1,4,2,2,18,1,0,0,1
577,16,1,1,2,2,2,13,1,0,1,0
578,16,1,1,4,4,2,17,1,0,0,1
